strike_bin_center_deg,time_bin,activated_segment_count,bin_start_minutes,bin_center_minutes,normalized_density
147.5,12,0,360.0,375.0,0.0
147.5,13,0,390.0,405.0,0.0
147.5,14,0,420.0,435.0,0.0
147.5,15,0,450.0,465.0,0.0
147.5,16,0,480.0,495.0,0.0
147.5,17,0,510.0,525.0,0.0
147.5,18,0,540.0,555.0,0.0
147.5,19,0,570.0,585.0,0.0
147.5,20,0,600.0,615.0,0.0
147.5,21,0,630.0,645.0,0.0
147.5,22,0,660.0,675.0,0.0
147.5,23,0,690.0,705.0,0.0
147.5,24,0,720.0,735.0,0.0
147.5,25,0,750.0,765.0,0.0
147.5,26,0,780.0,795.0,0.0
147.5,27,0,810.0,825.0,0.0
147.5,28,0,840.0,855.0,0.0
147.5,29,0,870.0,885.0,0.0
147.5,30,0,900.0,915.0,0.0
147.5,31,0,930.0,945.0,0.0
147.5,32,0,960.0,975.0,0.0
147.5,33,0,990.0,1005.0,0.0
147.5,34,0,1020.0,1035.0,0.0
147.5,35,1,1050.0,1065.0,0.041666666666666664
147.5,36,0,1080.0,1095.0,0.0
147.5,37,0,1110.0,1125.0,0.0
147.5,38,0,1140.0,1155.0,0.0
147.5,39,0,1170.0,1185.0,0.0
147.5,40,0,1200.0,1215.0,0.0
147.5,41,0,1230.0,1245.0,0.0
147.5,42,0,1260.0,1275.0,0.0
147.5,43,0,1290.0,1305.0,0.0
147.5,44,0,1320.0,1335.0,0.0
147.5,45,0,1350.0,1365.0,0.0
147.5,46,0,1380.0,1395.0,0.0
147.5,47,0,1410.0,1425.0,0.0
147.5,48,0,1440.0,1455.0,0.0
147.5,49,0,1470.0,1485.0,0.0
147.5,50,0,1500.0,1515.0,0.0
147.5,51,0,1530.0,1545.0,0.0
147.5,52,0,1560.0,1575.0,0.0
147.5,53,0,1590.0,1605.0,0.0
147.5,54,0,1620.0,1635.0,0.0
147.5,55,0,1650.0,1665.0,0.0
147.5,56,0,1680.0,1695.0,0.0
147.5,57,0,1710.0,1725.0,0.0
147.5,58,0,1740.0,1755.0,0.0
147.5,59,0,1770.0,1785.0,0.0
147.5,60,0,1800.0,1815.0,0.0
147.5,61,0,1830.0,1845.0,0.0
147.5,62,0,1860.0,1875.0,0.0
147.5,63,0,1890.0,1905.0,0.0
147.5,64,0,1920.0,1935.0,0.0
147.5,65,0,1950.0,1965.0,0.0
147.5,66,0,1980.0,1995.0,0.0
147.5,67,0,2010.0,2025.0,0.0
152.5,0,0,0.0,15.0,0.0
152.5,1,0,30.0,45.0,0.0
152.5,2,0,60.0,75.0,0.0
152.5,3,0,90.0,105.0,0.0
152.5,4,0,120.0,135.0,0.0
152.5,5,0,150.0,165.0,0.0
152.5,6,0,180.0,195.0,0.0
152.5,7,0,210.0,225.0,0.0
152.5,8,0,240.0,255.0,0.0
152.5,9,0,270.0,285.0,0.0
152.5,10,0,300.0,315.0,0.0
152.5,11,0,330.0,345.0,0.0
152.5,12,0,360.0,375.0,0.0
152.5,13,0,390.0,405.0,0.0
152.5,14,0,420.0,435.0,0.0
152.5,15,0,450.0,465.0,0.0
152.5,16,0,480.0,495.0,0.0
152.5,17,0,510.0,525.0,0.0
152.5,18,0,540.0,555.0,0.0
152.5,19,0,570.0,585.0,0.0
152.5,20,0,600.0,615.0,0.0
152.5,21,0,630.0,645.0,0.0
152.5,22,0,660.0,675.0,0.0
152.5,23,0,690.0,705.0,0.0
152.5,24,0,720.0,735.0,0.0
152.5,25,0,750.0,765.0,0.0
152.5,26,0,780.0,795.0,0.0
152.5,27,0,810.0,825.0,0.0
152.5,28,0,840.0,855.0,0.0
152.5,29,0,870.0,885.0,0.0
152.5,30,0,900.0,915.0,0.0
152.5,31,0,930.0,945.0,0.0
152.5,32,0,960.0,975.0,0.0
152.5,33,0,990.0,1005.0,0.0
152.5,34,0,1020.0,1035.0,0.0
152.5,35,0,1050.0,1065.0,0.0
152.5,36,0,1080.0,1095.0,0.0
152.5,37,0,1110.0,1125.0,0.0
152.5,38,0,1140.0,1155.0,0.0
152.5,39,0,1170.0,1185.0,0.0
152.5,40,0,1200.0,1215.0,0.0
152.5,41,0,1230.0,1245.0,0.0
152.5,42,0,1260.0,1275.0,0.0
152.5,43,0,1290.0,1305.0,0.0
152.5,44,0,1320.0,1335.0,0.0
152.5,45,0,1350.0,1365.0,0.0
152.5,46,0,1380.0,1395.0,0.0
152.5,47,0,1410.0,1425.0,0.0
152.5,48,0,1440.0,1455.0,0.0
152.5,49,0,1470.0,1485.0,0.0
152.5,50,0,1500.0,1515.0,0.0
152.5,51,0,1530.0,1545.0,0.0
152.5,52,0,1560.0,1575.0,0.0
152.5,53,0,1590.0,1605.0,0.0
152.5,54,0,1620.0,1635.0,0.0
152.5,55,0,1650.0,1665.0,0.0
152.5,56,0,1680.0,1695.0,0.0
152.5,57,0,1710.0,1725.0,0.0
152.5,58,0,1740.0,1755.0,0.0
152.5,59,0,1770.0,1785.0,0.0
152.5,60,0,1800.0,1815.0,0.0
152.5,61,0,1830.0,1845.0,0.0
152.5,62,0,1860.0,1875.0,0.0
152.5,63,0,1890.0,1905.0,0.0
152.5,64,0,1920.0,1935.0,0.0
152.5,65,0,1950.0,1965.0,0.0
152.5,66,0,1980.0,1995.0,0.0
152.5,67,0,2010.0,2025.0,0.0
157.5,0,0,0.0,15.0,0.0
157.5,1,0,30.0,45.0,0.0
157.5,2,0,60.0,75.0,0.0
157.5,3,0,90.0,105.0,0.0
157.5,4,0,120.0,135.0,0.0
157.5,5,0,150.0,165.0,0.0
157.5,6,0,180.0,195.0,0.0
157.5,7,0,210.0,225.0,0.0
157.5,8,0,240.0,255.0,0.0
157.5,9,0,270.0,285.0,0.0
157.5,10,0,300.0,315.0,0.0
157.5,11,0,330.0,345.0,0.0
157.5,12,0,360.0,375.0,0.0
157.5,13,0,390.0,405.0,0.0
157.5,14,0,420.0,435.0,0.0
157.5,15,0,450.0,465.0,0.0
157.5,16,0,480.0,495.0,0.0
157.5,17,0,510.0,525.0,0.0
157.5,18,0,540.0,555.0,0.0
157.5,19,0,570.0,585.0,0.0
157.5,20,0,600.0,615.0,0.0
157.5,21,0,630.0,645.0,0.0
157.5,22,0,660.0,675.0,0.0
157.5,23,0,690.0,705.0,0.0
157.5,24,0,720.0,735.0,0.0
157.5,25,0,750.0,765.0,0.0
157.5,26,0,780.0,795.0,0.0
157.5,27,0,810.0,825.0,0.0
157.5,28,0,840.0,855.0,0.0
157.5,29,0,870.0,885.0,0.0
157.5,30,0,900.0,915.0,0.0
157.5,31,0,930.0,945.0,0.0
157.5,32,0,960.0,975.0,0.0
157.5,33,0,990.0,1005.0,0.0
157.5,34,0,1020.0,1035.0,0.0
157.5,35,0,1050.0,1065.0,0.0
157.5,36,0,1080.0,1095.0,0.0
157.5,37,0,1110.0,1125.0,0.0
157.5,38,0,1140.0,1155.0,0.0
157.5,39,0,1170.0,1185.0,0.0
157.5,40,0,1200.0,1215.0,0.0
157.5,41,0,1230.0,1245.0,0.0
157.5,42,0,1260.0,1275.0,0.0
157.5,43,0,1290.0,1305.0,0.0
157.5,44,0,1320.0,1335.0,0.0
157.5,45,0,1350.0,1365.0,0.0
157.5,46,0,1380.0,1395.0,0.0
157.5,47,0,1410.0,1425.0,0.0
157.5,48,0,1440.0,1455.0,0.0
157.5,49,0,1470.0,1485.0,0.0
157.5,50,0,1500.0,1515.0,0.0
157.5,51,0,1530.0,1545.0,0.0
157.5,52,0,1560.0,1575.0,0.0
157.5,53,0,1590.0,1605.0,0.0
157.5,54,0,1620.0,1635.0,0.0
157.5,55,0,1650.0,1665.0,0.0
157.5,56,0,1680.0,1695.0,0.0
157.5,57,0,1710.0,1725.0,0.0
157.5,58,0,1740.0,1755.0,0.0
157.5,59,0,1770.0,1785.0,0.0
157.5,60,0,1800.0,1815.0,0.0
157.5,61,0,1830.0,1845.0,0.0
157.5,62,0,1860.0,1875.0,0.0
157.5,63,0,1890.0,1905.0,0.0
157.5,64,0,1920.0,1935.0,0.0
157.5,65,0,1950.0,1965.0,0.0
157.5,66,0,1980.0,1995.0,0.0
157.5,67,0,2010.0,2025.0,0.0
162.5,0,0,0.0,15.0,0.0
162.5,1,0,30.0,45.0,0.0
162.5,2,0,60.0,75.0,0.0
162.5,3,0,90.0,105.0,0.0
162.5,4,0,120.0,135.0,0.0
162.5,5,0,150.0,165.0,0.0
162.5,6,0,180.0,195.0,0.0
162.5,7,0,210.0,225.0,0.0
162.5,8,0,240.0,255.0,0.0
162.5,9,0,270.0,285.0,0.0
162.5,10,0,300.0,315.0,0.0
162.5,11,0,330.0,345.0,0.0
162.5,12,0,360.0,375.0,0.0
162.5,13,0,390.0,405.0,0.0
162.5,14,0,420.0,435.0,0.0
162.5,15,0,450.0,465.0,0.0
162.5,16,0,480.0,495.0,0.0
162.5,17,0,510.0,525.0,0.0
162.5,18,0,540.0,555.0,0.0
162.5,19,0,570.0,585.0,0.0
162.5,20,0,600.0,615.0,0.0
162.5,21,0,630.0,645.0,0.0
162.5,22,0,660.0,675.0,0.0
162.5,23,0,690.0,705.0,0.0
162.5,24,0,720.0,735.0,0.0
162.5,25,0,750.0,765.0,0.0
162.5,26,0,780.0,795.0,0.0
162.5,27,0,810.0,825.0,0.0
162.5,28,0,840.0,855.0,0.0
162.5,29,0,870.0,885.0,0.0
162.5,30,0,900.0,915.0,0.0
162.5,31,0,930.0,945.0,0.0
162.5,32,0,960.0,975.0,0.0
162.5,33,0,990.0,1005.0,0.0
162.5,34,0,1020.0,1035.0,0.0
162.5,35,0,1050.0,1065.0,0.0
162.5,36,0,1080.0,1095.0,0.0
162.5,37,0,1110.0,1125.0,0.0
162.5,38,0,1140.0,1155.0,0.0
162.5,39,0,1170.0,1185.0,0.0
162.5,40,0,1200.0,1215.0,0.0
162.5,41,0,1230.0,1245.0,0.0
162.5,42,0,1260.0,1275.0,0.0
162.5,43,0,1290.0,1305.0,0.0
162.5,44,0,1320.0,1335.0,0.0
162.5,45,0,1350.0,1365.0,0.0
162.5,46,0,1380.0,1395.0,0.0
162.5,47,0,1410.0,1425.0,0.0
162.5,48,0,1440.0,1455.0,0.0
162.5,49,0,1470.0,1485.0,0.0
162.5,50,0,1500.0,1515.0,0.0
162.5,51,0,1530.0,1545.0,0.0
162.5,52,0,1560.0,1575.0,0.0
162.5,53,0,1590.0,1605.0,0.0
162.5,54,1,1620.0,1635.0,0.041666666666666664
162.5,55,0,1650.0,1665.0,0.0
162.5,56,0,1680.0,1695.0,0.0
162.5,57,0,1710.0,1725.0,0.0
162.5,58,0,1740.0,1755.0,0.0
162.5,59,0,1770.0,1785.0,0.0
162.5,60,0,1800.0,1815.0,0.0
162.5,61,0,1830.0,1845.0,0.0
162.5,62,0,1860.0,1875.0,0.0
162.5,63,0,1890.0,1905.0,0.0
162.5,64,0,1920.0,1935.0,0.0
162.5,65,0,1950.0,1965.0,0.0
162.5,66,0,1980.0,1995.0,0.0
162.5,67,0,2010.0,2025.0,0.0
167.5,0,0,0.0,15.0,0.0
167.5,1,0,30.0,45.0,0.0
167.5,2,0,60.0,75.0,0.0
167.5,3,0,90.0,105.0,0.0
167.5,4,0,120.0,135.0,0.0
167.5,5,0,150.0,165.0,0.0
167.5,6,0,180.0,195.0,0.0
167.5,7,0,210.0,225.0,0.0
167.5,8,0,240.0,255.0,0.0
167.5,9,0,270.0,285.0,0.0
167.5,10,0,300.0,315.0,0.0
167.5,11,0,330.0,345.0,0.0
167.5,12,0,360.0,375.0,0.0
167.5,13,0,390.0,405.0,0.0
167.5,14,0,420.0,435.0,0.0
167.5,15,0,450.0,465.0,0.0
167.5,16,0,480.0,495.0,0.0
167.5,17,0,510.0,525.0,0.0
167.5,18,0,540.0,555.0,0.0
167.5,19,0,570.0,585.0,0.0
167.5,20,0,600.0,615.0,0.0
167.5,21,0,630.0,645.0,0.0
167.5,22,0,660.0,675.0,0.0
167.5,23,0,690.0,705.0,0.0
167.5,24,0,720.0,735.0,0.0
167.5,25,0,750.0,765.0,0.0
167.5,26,0,780.0,795.0,0.0
167.5,27,0,810.0,825.0,0.0
167.5,28,0,840.0,855.0,0.0
167.5,29,0,870.0,885.0,0.0
167.5,30,0,900.0,915.0,0.0
167.5,31,0,930.0,945.0,0.0
167.5,32,0,960.0,975.0,0.0
167.5,33,0,990.0,1005.0,0.0
167.5,34,0,1020.0,1035.0,0.0
167.5,35,0,1050.0,1065.0,0.0
167.5,36,0,1080.0,1095.0,0.0
167.5,37,0,1110.0,1125.0,0.0
167.5,38,0,1140.0,1155.0,0.0
167.5,39,0,1170.0,1185.0,0.0
167.5,40,0,1200.0,1215.0,0.0
167.5,41,0,1230.0,1245.0,0.0
167.5,42,0,1260.0,1275.0,0.0
167.5,43,0,1290.0,1305.0,0.0
167.5,44,0,1320.0,1335.0,0.0
167.5,45,0,1350.0,1365.0,0.0
167.5,46,0,1380.0,1395.0,0.0
167.5,47,0,1410.0,1425.0,0.0
167.5,48,0,1440.0,1455.0,0.0
167.5,49,0,1470.0,1485.0,0.0
167.5,50,0,1500.0,1515.0,0.0
167.5,51,0,1530.0,1545.0,0.0
167.5,52,0,1560.0,1575.0,0.0
167.5,53,0,1590.0,1605.0,0.0
167.5,54,0,1620.0,1635.0,0.0
167.5,55,0,1650.0,1665.0,0.0
167.5,56,0,1680.0,1695.0,0.0
167.5,57,0,1710.0,1725.0,0.0
167.5,58,0,1740.0,1755.0,0.0
167.5,59,0,1770.0,1785.0,0.0
167.5,60,0,1800.0,1815.0,0.0
167.5,61,0,1830.0,1845.0,0.0
167.5,62,0,1860.0,1875.0,0.0
167.5,63,0,1890.0,1905.0,0.0
167.5,64,0,1920.0,1935.0,0.0
167.5,65,0,1950.0,1965.0,0.0
167.5,66,0,1980.0,1995.0,0.0
167.5,67,0,2010.0,2025.0,0.0
172.5,0,0,0.0,15.0,0.0
172.5,1,0,30.0,45.0,0.0
172.5,2,0,60.0,75.0,0.0
172.5,3,0,90.0,105.0,0.0
172.5,4,0,120.0,135.0,0.0
172.5,5,0,150.0,165.0,0.0
172.5,6,0,180.0,195.0,0.0
172.5,7,0,210.0,225.0,0.0
172.5,8,0,240.0,255.0,0.0
172.5,9,0,270.0,285.0,0.0
172.5,10,0,300.0,315.0,0.0
172.5,11,0,330.0,345.0,0.0
172.5,12,0,360.0,375.0,0.0
172.5,13,0,390.0,405.0,0.0
172.5,14,0,420.0,435.0,0.0
172.5,15,0,450.0,465.0,0.0
172.5,16,0,480.0,495.0,0.0
172.5,17,0,510.0,525.0,0.0
172.5,18,0,540.0,555.0,0.0
172.5,19,0,570.0,585.0,0.0
172.5,20,0,600.0,615.0,0.0
172.5,21,0,630.0,645.0,0.0
172.5,22,0,660.0,675.0,0.0
172.5,23,0,690.0,705.0,0.0
172.5,24,0,720.0,735.0,0.0
172.5,25,0,750.0,765.0,0.0
172.5,26,0,780.0,795.0,0.0
172.5,27,0,810.0,825.0,0.0
172.5,28,0,840.0,855.0,0.0
172.5,29,0,870.0,885.0,0.0
172.5,30,0,900.0,915.0,0.0
172.5,31,0,930.0,945.0,0.0
172.5,32,0,960.0,975.0,0.0
172.5,33,0,990.0,1005.0,0.0
172.5,34,0,1020.0,1035.0,0.0
172.5,35,0,1050.0,1065.0,0.0
172.5,36,0,1080.0,1095.0,0.0
172.5,37,0,1110.0,1125.0,0.0
172.5,38,0,1140.0,1155.0,0.0
172.5,39,0,1170.0,1185.0,0.0
172.5,40,0,1200.0,1215.0,0.0
172.5,41,0,1230.0,1245.0,0.0
172.5,42,0,1260.0,1275.0,0.0
172.5,43,0,1290.0,1305.0,0.0
172.5,44,0,1320.0,1335.0,0.0
172.5,45,0,1350.0,1365.0,0.0
172.5,46,0,1380.0,1395.0,0.0
172.5,47,0,1410.0,1425.0,0.0
172.5,48,0,1440.0,1455.0,0.0
172.5,49,0,1470.0,1485.0,0.0
172.5,50,0,1500.0,1515.0,0.0
172.5,51,0,1530.0,1545.0,0.0
172.5,52,0,1560.0,1575.0,0.0
172.5,53,0,1590.0,1605.0,0.0
172.5,54,0,1620.0,1635.0,0.0
172.5,55,0,1650.0,1665.0,0.0
172.5,56,0,1680.0,1695.0,0.0
172.5,57,0,1710.0,1725.0,0.0
172.5,58,0,1740.0,1755.0,0.0
172.5,59,0,1770.0,1785.0,0.0
172.5,60,0,1800.0,1815.0,0.0
172.5,61,0,1830.0,1845.0,0.0
172.5,62,0,1860.0,1875.0,0.0
172.5,63,0,1890.0,1905.0,0.0
172.5,64,0,1920.0,1935.0,0.0
172.5,65,0,1950.0,1965.0,0.0
172.5,66,0,1980.0,1995.0,0.0
172.5,67,0,2010.0,2025.0,0.0
177.5,0,0,0.0,15.0,0.0
177.5,1,0,30.0,45.0,0.0
177.5,2,0,60.0,75.0,0.0
177.5,3,0,90.0,105.0,0.0
177.5,4,0,120.0,135.0,0.0
177.5,5,0,150.0,165.0,0.0
177.5,6,0,180.0,195.0,0.0
177.5,7,0,210.0,225.0,0.0
177.5,8,0,240.0,255.0,0.0
177.5,9,0,270.0,285.0,0.0
177.5,10,0,300.0,315.0,0.0
177.5,11,0,330.0,345.0,0.0
177.5,12,0,360.0,375.0,0.0
177.5,13,0,390.0,405.0,0.0
177.5,14,0,420.0,435.0,0.0
177.5,15,0,450.0,465.0,0.0
177.5,16,0,480.0,495.0,0.0
177.5,17,0,510.0,525.0,0.0
177.5,18,0,540.0,555.0,0.0
177.5,19,0,570.0,585.0,0.0
177.5,20,0,600.0,615.0,0.0
177.5,21,0,630.0,645.0,0.0
177.5,22,0,660.0,675.0,0.0
177.5,23,0,690.0,705.0,0.0
177.5,24,0,720.0,735.0,0.0
177.5,25,0,750.0,765.0,0.0
177.5,26,0,780.0,795.0,0.0
177.5,27,0,810.0,825.0,0.0
177.5,28,0,840.0,855.0,0.0
177.5,29,0,870.0,885.0,0.0
177.5,30,0,900.0,915.0,0.0
177.5,31,0,930.0,945.0,0.0
177.5,32,0,960.0,975.0,0.0
177.5,33,0,990.0,1005.0,0.0
177.5,34,0,1020.0,1035.0,0.0
177.5,35,0,1050.0,1065.0,0.0
177.5,36,0,1080.0,1095.0,0.0
177.5,37,0,1110.0,1125.0,0.0
177.5,38,0,1140.0,1155.0,0.0
177.5,39,0,1170.0,1185.0,0.0
177.5,40,0,1200.0,1215.0,0.0
177.5,41,0,1230.0,1245.0,0.0
177.5,42,0,1260.0,1275.0,0.0
177.5,43,0,1290.0,1305.0,0.0
177.5,44,0,1320.0,1335.0,0.0
177.5,45,0,1350.0,1365.0,0.0
177.5,46,0,1380.0,1395.0,0.0
177.5,47,0,1410.0,1425.0,0.0
177.5,48,0,1440.0,1455.0,0.0
177.5,49,0,1470.0,1485.0,0.0
177.5,50,0,1500.0,1515.0,0.0
177.5,51,0,1530.0,1545.0,0.0
177.5,52,0,1560.0,1575.0,0.0
177.5,53,0,1590.0,1605.0,0.0
177.5,54,0,1620.0,1635.0,0.0
177.5,55,0,1650.0,1665.0,0.0
177.5,56,0,1680.0,1695.0,0.0
177.5,57,0,1710.0,1725.0,0.0
177.5,58,0,1740.0,1755.0,0.0
177.5,59,0,1770.0,1785.0,0.0
177.5,60,0,1800.0,1815.0,0.0
177.5,61,0,1830.0,1845.0,0.0
177.5,62,0,1860.0,1875.0,0.0
177.5,63,0,1890.0,1905.0,0.0
177.5,64,0,1920.0,1935.0,0.0
177.5,65,0,1950.0,1965.0,0.0
177.5,66,0,1980.0,1995.0,0.0
177.5,67,0,2010.0,2025.0,0.0
