sequence_label,from_name,to_name,from_time,to_time,centroid_move_km,delta_projected_km,delta_perp_km,delta_depth_km,from_category,to_category
phase_m2aware,pre_m3_primary,pre_m3_sens_28d,2026-03-17 13:41:01.780000+00:00,2026-03-25 08:54:18.470000+00:00,0.5620104400530318,-0.10978250630359909,0.03496172568109657,0.030000000000001137,M1_endpoint,M1_endpoint
phase_m2aware,pre_m3_sens_28d,post_m3_14d,2026-03-25 08:54:18.470000+00:00,2026-04-20 07:56:46.960000+00:00,26.650003573611997,24.194966184772667,2.2505663155491344,-0.16000000000000014,M1_endpoint,ambiguous
phase_m2aware,post_m3_14d,post_m3_7d,2026-04-20 07:56:46.960000+00:00,2026-04-20 07:56:46.960000+00:00,1.0311368940676897,-0.4198927002604478,-0.02830264526339299,-0.09500000000000064,ambiguous,M3_endpoint
burst_raw,B01,B02,2025-06-03 15:58:03.730000+00:00,2025-06-16 23:12:16.400000+00:00,39.919020413774,38.249984814497324,-10.359483143605136,-1.0199999999999996,low_count_M1_endpoint,low_count_M1_endpoint
burst_raw,B02,B03,2025-06-16 23:12:16.400000+00:00,2025-06-26 10:42:43.740000+00:00,60.79645292317708,49.966064745726584,22.393904067120914,0.1899999999999995,low_count_M1_endpoint,low_count_off_corridor_local
burst_raw,B03,B04,2025-06-26 10:42:43.740000+00:00,2025-07-08 06:42:44.110000+00:00,54.1419167924242,-38.17236262225511,-27.97662336061655,3.360000000000001,low_count_off_corridor_local,low_count_M3_endpoint
burst_raw,B04,B05,2025-07-08 06:42:44.110000+00:00,2025-07-21 22:00:45.620000+00:00,13.231051402718766,-35.22337702269117,29.561890838976886,5.114999999999998,low_count_M3_endpoint,low_count_off_corridor_local
burst_raw,B05,B06,2025-07-21 22:00:45.620000+00:00,2025-09-01 01:34:31.830000+00:00,75.5665251919584,101.1099513610231,19.30027024961644,-14.355,low_count_off_corridor_local,low_count_off_corridor_local
burst_raw,B06,B07,2025-09-01 01:34:31.830000+00:00,2025-09-15 02:42:18.920000+00:00,99.60444991179388,-91.04977878675874,-39.86769497270023,7.425000000000001,low_count_off_corridor_local,low_count_M1_endpoint
burst_raw,B07,B08,2025-09-15 02:42:18.920000+00:00,2025-10-09 22:13:59.260000+00:00,20.74808842558426,-11.463819357412307,-11.087685352016772,-2.045,low_count_M1_endpoint,low_count_M1_endpoint
burst_raw,B08,B09,2025-10-09 22:13:59.260000+00:00,2025-11-01 07:34:32.810000+00:00,15.38155580010823,13.160515993270442,5.53040278791152,0.4499999999999993,low_count_M1_endpoint,M1_endpoint
burst_raw,B09,B10,2025-11-01 07:34:32.810000+00:00,2025-12-30 22:19:44.960000+00:00,36.12466666780351,13.703584861994134,-0.726163845572378,-0.15000000000000036,M1_endpoint,low_count_M1_endpoint
burst_raw,B10,B11,2025-12-30 22:19:44.960000+00:00,2026-01-09 18:11:59.880000+00:00,19.44966837552682,-8.118631500973336,-1.1985271293845532,-0.21000000000000085,low_count_M1_endpoint,low_count_M1_endpoint
burst_raw,B11,B12,2026-01-09 18:11:59.880000+00:00,2026-01-30 11:03:19.070000+00:00,8.46884497605939,12.899885649015609,2.5827465833337317,0.8000000000000007,low_count_M1_endpoint,mixed_M1_endpoint_M3_endpoint
burst_raw,B12,B13,2026-01-30 11:03:19.070000+00:00,2026-02-24 01:10:03.700000+00:00,51.31296353498437,-52.15456092249772,16.38531935303586,-6.1899999999999995,mixed_M1_endpoint_M3_endpoint,low_count_M1_endpoint
