time_tol_sec,horizontal_tol_km,depth_tol_km,candidate_pairs,matched_pairs,matched_fraction,ambiguous_mecha_rows,ambiguous_catalog_events,median_time_diff_sec,median_horizontal_diff_km,median_depth_diff_km
3.0,5.0,1.0,236,236,0.6666666666666666,0,0,0.01,0.08519960513637341,0.0799999999999983
5.0,2.0,1.0,236,236,0.6666666666666666,0,0,0.01,0.08519960513637341,0.0799999999999983
5.0,5.0,1.0,236,236,0.6666666666666666,0,0,0.01,0.08519960513637341,0.0799999999999983
10.0,2.0,1.0,236,236,0.6666666666666666,0,0,0.01,0.08519960513637341,0.0799999999999983
1.0,0.5,1.0,235,235,0.6638418079096046,0,0,0.01,0.08505029638711792,0.0799999999999983
1.0,1.0,1.0,235,235,0.6638418079096046,0,0,0.01,0.08505029638711792,0.0799999999999983
3.0,0.5,1.0,235,235,0.6638418079096046,0,0,0.01,0.08505029638711792,0.0799999999999983
3.0,1.0,1.0,235,235,0.6638418079096046,0,0,0.01,0.08505029638711792,0.0799999999999983
5.0,0.5,1.0,235,235,0.6638418079096046,0,0,0.01,0.08505029638711792,0.0799999999999983
5.0,1.0,1.0,235,235,0.6638418079096046,0,0,0.01,0.08505029638711792,0.0799999999999983
10.0,0.5,1.0,235,235,0.6638418079096046,0,0,0.01,0.08505029638711792,0.0799999999999983
10.0,1.0,1.0,235,235,0.6638418079096046,0,0,0.01,0.08505029638711792,0.0799999999999983
