domain,cell_id,x_km,y_km,event_count,cumulative_energy,first_activation_hours,peak_rate_time_30m_hours,peak_rate_time_1h_hours,first_nonzero_bin_30m_hours,first_nonzero_bin_1h_hours,longitude,latitude,distance_to_Mw6.4_km,distance_to_Mw7.1_km
Mw6.4_neighborhood,0,2.7618344179250522,-7.60163687291167,0,0.0,,,,,,-117.51329061399144,35.61634118969524,9.905806378079475,19.14625029468593
Mw6.4_neighborhood,1,3.2618344179250522,-7.60163687291167,1,4731512.589614803,19.566997222222223,19.75,19.5,19.75,19.5,-117.50777175312062,35.61633966531326,9.82980162566875,19.33982658140326
Mw6.4_neighborhood,2,3.7618344179250522,-7.60163687291167,0,0.0,,,,,,-117.50225289247676,35.61633788786597,9.778803607803972,19.544280085251103
Mw6.4_neighborhood,3,4.261834417925052,-7.60163687291167,0,0.0,,,,,,-117.49673403209462,35.616335857353384,9.75320460156558,19.759273162308723
Mw6.4_neighborhood,4,4.761834417925052,-7.60163687291167,0,0.0,,,,,,-117.49121517200902,35.616333573775556,9.75320460156558,19.984465660975893
Mw6.4_neighborhood,5,5.261834417925052,-7.60163687291167,0,0.0,,,,,,-117.48569631225472,35.61633103713251,9.778803607803972,20.219516799535928
Mw6.4_neighborhood,6,5.761834417925052,-7.60163687291167,0,0.0,,,,,,-117.48017745286651,35.61632824742428,9.82980162566875,20.464086870874706
Mw6.4_neighborhood,7,6.261834417925052,-7.60163687291167,0,0.0,,,,,,-117.47465859387921,35.616325204650934,9.905806378079475,20.717838770265043
Mw6.4_neighborhood,8,0.7618344179250522,-7.10163687291167,0,0.0,,,,,,-117.53536558705427,35.620851211965714,9.981232388838565,18.00799954067654
Mw6.4_neighborhood,9,1.2618344179250522,-7.10163687291167,0,0.0,,,,,,-117.52984641584882,35.62085069979809,9.80433577556379,18.158690462392858
Mw6.4_neighborhood,10,1.7618344179250522,-7.10163687291167,1,1109174.8152624008,30.569619444444445,30.75,30.5,30.75,30.5,-117.5243272447312,35.62084993454185,9.650129532809391,18.32179115591563
Mw6.4_neighborhood,11,2.2618344179250522,-7.10163687291167,0,0.0,,,,,,-117.51880807373615,35.620848916196955,9.519716382329886,18.49697334736089
Mw6.4_neighborhood,12,2.7618344179250522,-7.10163687291167,0,0.0,,,,,,-117.51328890289855,35.62084764476346,9.414085191881366,18.683897207621595
Mw6.4_neighborhood,13,3.2618344179250522,-7.10163687291167,0,0.0,,,,,,-117.50776973225315,35.620846120241374,9.334077351297235,18.882214031118302
Mw6.4_neighborhood,14,3.7618344179250522,-7.10163687291167,0,0.0,,,,,,-117.50225056183477,35.62084434263071,9.280355596635292,19.091568782291095
Mw6.4_neighborhood,15,4.261834417925052,-7.10163687291167,0,0.0,,,,,,-117.49673139167818,35.62084231193151,9.253377761660873,19.311602481952207
Mw6.4_neighborhood,16,4.761834417925052,-7.10163687291167,0,0.0,,,,,,-117.49121222181822,35.6208400281438,9.253377761660873,19.541954412825078
Mw6.4_neighborhood,17,5.261834417925052,-7.10163687291167,0,0.0,,,,,,-117.48569305228965,35.620837491267615,9.280355596635292,19.782264130400353
Mw6.4_neighborhood,18,5.761834417925052,-7.10163687291167,0,0.0,,,,,,-117.48017388312728,35.620834701303004,9.334077351297235,20.03217327143801
Mw6.4_neighborhood,19,6.261834417925052,-7.10163687291167,0,0.0,,,,,,-117.47465471436594,35.62083165824999,9.414085191881366,20.291327157899413
Mw6.4_neighborhood,20,6.761834417925052,-7.10163687291167,1,2917427.014001166,19.222391666666667,19.25,19.5,19.25,19.5,-117.46913554604036,35.620828362108625,9.519716382329886,20.559376198729794
Mw6.4_neighborhood,21,7.261834417925052,-7.10163687291167,0,0.0,,,,,,-117.46361637818538,35.62082481287898,9.650129532809391,20.835977095708472
Mw6.4_neighborhood,22,7.761834417925052,-7.10163687291167,0,0.0,,,,,,-117.45809721083582,35.62082101056108,9.80433577556379,21.120793862563
Mw6.4_neighborhood,23,8.261834417925051,-7.10163687291167,0,0.0,,,,,,-117.45257804402642,35.62081695515501,9.981232388838565,21.41349866875728
Mw6.4_neighborhood,24,-0.23816558207494776,-6.60163687291167,0,0.0,,,,,,-117.54640407717218,35.625357929077616,9.956153875869939,17.259698093281745
Mw6.4_neighborhood,25,0.26183441792505224,-6.60163687291167,0,0.0,,,,,,-117.54088459606331,35.62535792308674,9.72753822917186,17.38813302580885
Mw6.4_neighborhood,26,0.7618344179250522,-6.60163687291167,0,0.0,,,,,,-117.53536511497263,35.625357663983955,9.519716382329886,17.529893381741243
Mw6.4_neighborhood,27,1.2618344179250522,-6.60163687291167,0,0.0,,,,,,-117.52984563393503,35.625357151769265,9.334077351297235,17.68465871390246
Mw6.4_neighborhood,28,1.7618344179250522,-6.60163687291167,0,0.0,,,,,,-117.52432615298527,35.62535638644268,9.17196816392207,17.852090792935073
Mw6.4_neighborhood,29,2.2618344179250522,-6.60163687291167,0,0.0,,,,,,-117.51880667215812,35.6253553680042,9.034655499796326,18.031836776412657
Mw6.4_neighborhood,30,2.7618344179250522,-6.60163687291167,0,0.0,,,,,,-117.51328719148846,35.62535409645383,8.923284148787374,18.22353229709265
Mw6.4_neighborhood,31,3.2618344179250522,-6.60163687291167,0,0.0,,,,,,-117.50776771101106,35.62535257179161,8.838834764831844,18.426804422774172
Mw6.4_neighborhood,32,3.7618344179250522,-6.60163687291167,0,0.0,,,,,,-117.50224823076074,35.62535079401758,8.782084035125148,18.6412744491132
Mw6.4_neighborhood,33,4.261834417925052,-6.60163687291167,0,0.0,,,,,,-117.4967287507723,35.625348763131726,8.753570700005799,18.866560495732962
Mw6.4_neighborhood,34,4.761834417925052,-6.60163687291167,0,0.0,,,,,,-117.49120927108055,35.6253464791341,8.753570700005799,19.102279884640538
Mw6.4_neighborhood,35,5.261834417925052,-6.60163687291167,0,0.0,,,,,,-117.48568979172029,35.62534394202474,8.782084035125148,19.348051288001418
Mw6.4_neighborhood,36,5.761834417925052,-6.60163687291167,0,0.0,,,,,,-117.48017031272632,35.62534115180368,8.838834764831844,19.60349663950603
Mw6.4_neighborhood,37,6.261834417925052,-6.60163687291167,0,0.0,,,,,,-117.47465083413348,35.625338108470956,8.923284148787374,19.868242809748303
Mw6.4_neighborhood,38,6.761834417925052,-6.60163687291167,0,0.0,,,,,,-117.46913135597656,35.625334812026644,9.034655499796326,20.141923051166344
Mw6.4_neighborhood,39,7.261834417925052,-6.60163687291167,0,0.0,,,,,,-117.46361187829035,35.625331262470766,9.17196816392207,20.42417822217327
